NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,URL,Pimpinan Yayasan,Operator Yayasan,Telepon Yayasan,Fax Yayasan,Email Yayasan,Kode Pos Yayasan,No Pendirian Yayasan,Tanggal Pendirian Yayasan,No Pengesahan PN LN Yayasan,No Pengesahan Menkumham Yayasan,Tanggal Pengesahan Menkumham Yayasan,Nama Yayasan,Kode Yayasan
69823617,KB GEMA INSANI,KB,Kec. Sukaluyu,Kab. Cianjur,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/486D43EB-F0DD-450D-A5CF-8DF94EBAB453,"IKIN SODIKIN, S.H.I, MMPd",,-,43284,kbgemainsani@gmail.com,43284,52,26 Jun 2014,05399.50.10.2014,,2014-06-26,GEMA INSANI,AA1937
69736578,RA/BA/TA AZ ZAHRA,RA,Kec. Depok,Kab. Cirebon,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/09FCB05F-4A20-44F1-BDD0-3E7EEA07B5E0,Drs.H.Zaenal Abidin,AGUS GOZALI NASUTION,-,45653,Ypiazzahradepok@gmail.com,45653,16,18 Aug 2016,AHU-0032679.AH.01.04,AHU-0032679.AH.01.04,2016-08-18,YAYASAN PENDIDIKAN ISLAM AZ-ZAHRA DEPOK,AO5199
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,ROSIDIN,,-,45173,yayasanhikmatulhuda@gmail.com,45173,42,12 May 2014,,,2017-02-28,HIKMATUL HUDA,AA3587
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,NANI IRIANI,,-,45187,paudananda1945@gmail.com,45187,,29 Sep 2017,,,2017-09-29,YAYASAN PAUD ANANDA,AA3545
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,K. Zaenurrohman Al Hafidz,,-,45155,ashshiddiqy.almunawar@gmail.com,45155,129,09 Feb 2015,AHU-0002350.AH.01.04,AHU-0002350.AH.01.04,2015-02-16,YAYASAN ASH SHIDDIQY AL MUNAWAR,AX0982
69839579,KB NUR INDAH,KB,Kec. Kejaksan,Kota Cirebon,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1CBC91F0-E5B4-4224-8460-7655B0286502,drs. Beski Endayana S,Wahyu Aji Nugraha,-,45122,paudnurindahcrb@mail.com,45122,AHU-380.AH02.01,19 May 2011,,,2016-10-11,NUR INDAH,AA3546
70023637,SMP PONPES BUSTANUL ARIFIN,SMP,Kec. Depok,Kab. Cirebon,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04C09FF1-1BEC-49AB-BEF6-BE75BB07F471,"Imron Busthomi, S.Ag",SUPRIYADI,-,45155,smpponpesbustanularifin@gmail.com,45155,20,09 Jul 2018,AHU-0008877.AH.01.04 Tahun 2018,AHU-0008877.AH.01.04 Tahun 2018,2018-07-11,YAYASAN BAHARI NUSANTARA CIREBON,AX1369
69977083,KB MURSYIDUL HUDA,KB,Kec. Sukaluyu,Kab. Cianjur,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DE8B4863-7504-4325-B1BD-4BEEA553E3D2,Abdul Rohman,,-,43284,-,43284,434,14 Apr 2016,-,AHU-345.ah.02.01.TAHUN 2011,2011-05-09,Mursyidul Huda Al-Fadilah,AA1938
69877954,KB RAJAWALI,KB,Kec. Mundu,Kab. Cirebon,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AEB7F35B-FB8B-4718-A7FA-68BE9613B9D0,"ETI SUKENTI, S.Pd",,Belum Tersedia,45173,,45173,2016,11 Nov 2016,2016,2016,2016-11-11,RAJAWALI,AA3588
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,MIFTAHURROHMAN,,-,45155,jabalrahmahcrb@gmail.com,45155,14,07 Oct 2022,AHU-0046475.AH.01.01 Tahun 2016,AHU-0046475.AH.01.01 Tahun 2016,2016-12-22,YAYASAN JABAL RAHMAH CIREBON,AX5444
69957254,PAUD AR RISALAH,KB,Kec. Sukaluyu,Kab. Cianjur,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9676E914-0A1D-4BA5-9493-7E88AC823677,"ACEP ADAM,S.PDI",,-,43284,-,43284,AHU-0014914.AH.01.12,14 Mar 2016,-,-,2017-05-25,YPI AR-RISALAH ASSYAFI'IYAH,AA1939
69870518,KOBER TUNAS MUNDU,KB,Kec. Mundu,Kab. Cirebon,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0EA73494-F045-44C6-8C2F-8ADA1A18A557,nani sumarni,,-,45173,0,45173,12/P.SK/V/2008,20 May 2008,23,45,2009-10-11,TUNAS MUNDU,AA3589
69974845,PAUD AL-AMINAH,KB,Kec. Dukupuntang,Kab. Cirebon,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/024574FF-48E3-4FF4-9B92-C7CFED7B957C,Zainuddin,,-,45652,ihahmaftuhah15@gmail.com,45652,-,28 Nov 2018,,,2018-11-28,PAUD AL AMINAH,AI1574
69955001,KB ROUDOTUL ILMI,KB,Kec. Waled,Kab. Cirebon,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/94033C56-00A7-4F0F-8CF8-E6014F2726CE,YONO,,-,45187,,45187,04,09 Sep 2016,0039014.AH.01.12,,2017-03-04,DAARUL ULUM,AA3547
69911936,PAUD AL IHSAN,KB,Kec. Sukaluyu,Kab. Cianjur,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DCD5D76C-10A1-44AC-A682-957F159D917C,ATE SYARIF HIDAYAT,,-,43284,paud.alihsan9@gmail.com,43284,000,03 Oct 2016,000,000,2016-10-05,YAYASAN AL-IHSAN NURUL IKHWANIYAH,AA1940
