NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,URL,Pimpinan Yayasan,Operator Yayasan,Telepon Yayasan,Fax Yayasan,Email Yayasan,Kode Pos Yayasan,No Pendirian Yayasan,Tanggal Pendirian Yayasan,No Pengesahan PN LN Yayasan,No Pengesahan Menkumham Yayasan,Tanggal Pengesahan Menkumham Yayasan,Nama Yayasan,Kode Yayasan
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,"HERU KRISTIYONO, S.M",,-,17218,tkidarululum@gmail.com,17218,06,13 Jul 2018,AHU-0011036.AH.01.04,AHU-0011036.AH.01.04,2018-08-16,YAYASAN IMAM SYAHID,AX4422
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,DEDE YUSUP,Sri Devi Maharani,-,17730,annisaputrabangsa123@gmail.com,17730,09,15 Sep 2014,AHU-06744.50.10.2014,AHU-06744.50.10.2014,2014-09-26,YAYASAN ANNISA PUTRA BANGSA,AX4362
69869108,KB MAHKOTA,KB,Kec. Cariu,Kab. Bogor,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9B1A9E1-1BA8-43B5-8539-915CD363A4AA,ENDIN HENDARLIN,KOSASIH,Belum Tersedia,16840,,16840,AHU-0011039.AH.01.07.Thn 2015,20 Oct 2015,AHU-0011039.AH.01.07.Thn 2015,421/3602-Diklus/2005,2005-07-03,PKBM AL-IKHLAS,AD2609
69915868,TK WINNER,TK,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/430A9E06-BAAF-4C9B-A39B-FF0D816C4911,Drs Altur Malau,,-,17510,,17510,41,27 Feb 2013,,,,Sinar Oraet Laora,AD6306
69918925,PAUD ANANDA,KB,Kec. Cariu,Kab. Bogor,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14A161B1-7FBA-4922-B19A-0828CB7147E5,mohamad permadi,,Belum Tersedia,16840,,16840,,03 Jun 2015,,,,Ananda,AD2610
20268428,TK ISLAM AL LANA,TK,Kec. Serang Baru,Kab. Bekasi,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/07248538-FDCD-4A18-925F-24298C7AEF9A,SITI ROCHANI,Karimah,-,17330,yayasantkislamallana@gmail.com,17330,23,23 Dec 2015,AHU-0000025.AH.01.04,AHU-0000025.AH.01.04,2016-01-02,YAYASAN AL-LANA,AX4364
20237923,SMP IT ARRAUDHAH,SMP,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/000DAB14-2CF5-E011-A6E1-E1E63B5C9991,Ahmad Faisal,Irfansyah,88327936,17510,arraudhah76@yahoo.com,17510,215,29 Sep 1995,AHU-0017240.AH.01.04,AHU-0017240.AH.01.04,2015-10-16,Yayasan Islam Ar-Raudhah,AD6307
20238053,SMKS TIARA BANGSA,SMK,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2AAED75C-E305-4291-9F73-6B51B5204F3D,Ahmad Faisal,Irfansyah,88327936,17510,arraudhah76@yahoo.com,17510,215,29 Sep 1995,AHU-0017240.AH.01.04,AHU-0017240.AH.01.04,2015-10-16,Yayasan Islam Ar-Raudhah,AD6307
20279361,MTSS AR RAUDHAH,MTs,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4FCCAEDF-5DC3-4C15-8EAF-52E1880C14F8,Ahmad Faisal,Irfansyah,88327936,17510,arraudhah76@yahoo.com,17510,215,29 Sep 1995,AHU-0017240.AH.01.04,AHU-0017240.AH.01.04,2015-10-16,Yayasan Islam Ar-Raudhah,AD6307
69738036,RA/BA/TA AZ-ZAHRA,RA,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C047D73B-89C1-4851-B721-00EE6246310B,Ahmad Faisal,Irfansyah,88327936,17510,arraudhah76@yahoo.com,17510,215,29 Sep 1995,AHU-0017240.AH.01.04,AHU-0017240.AH.01.04,2015-10-16,Yayasan Islam Ar-Raudhah,AD6307
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,TRI RETNONINGSIH,,-,17215,tkislambinainsani7@gmail.com,17215,01,02 Aug 2010,AHU.4322.AH.01.04,AHU.4322.AH.01.04,2010-10-18,YAYASAN BINA INSAN YAFI BEKASI,AX5267
69918927,PAUD AN-NISA,KB,Kec. Cariu,Kab. Bogor,Prov. Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60421F69-350D-4117-B940-96744DA12486,Ronny Ruswandi,,Belum Tersedia,16840,,16840,,15 Mar 2016,AHU-0017524.AH.01.04.TH 2016,,,Anisa,AD2611
