NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,URL,Pimpinan Yayasan,Operator Yayasan,Telepon Yayasan,Fax Yayasan,Email Yayasan,Kode Pos Yayasan,No Pendirian Yayasan,Tanggal Pendirian Yayasan,No Pengesahan PN LN Yayasan,No Pengesahan Menkumham Yayasan,Tanggal Pengesahan Menkumham Yayasan,Nama Yayasan,Kode Yayasan
69882942,TK PUNNA KARYA,TK,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/491CC301-2F66-407E-BE22-2AC663B83925,ONG SAN,Dharma Putra,0215985147,15810,sekolahpunnakarya@gmail.com,15810,05,16 Jun 2008,,,2016-04-27,PUNNA KARYA,AO4713
69923673,SDS PUNNA KARYA,SD,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C535E142-BBC9-4D02-A82A-9887999A5742,ONG SAN,Dharma Putra,0215985147,15810,sekolahpunnakarya@gmail.com,15810,05,16 Jun 2008,,,2016-04-27,PUNNA KARYA,AO4713
69960001,KB PUNNA KARYA,KB,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B5C8EE7D-F477-4EE0-8394-D291C611807F,ONG SAN,Dharma Putra,0215985147,15810,sekolahpunnakarya@gmail.com,15810,05,16 Jun 2008,,,2016-04-27,PUNNA KARYA,AO4713
69975499,TK YAKANISA,TK,Kec. Cikande,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06F5947B-8196-4722-9468-4239367B5280,"Hj Sri Suprapti ,S.Pd",,-,42174,yakanisa_tk@yahoo.com,42174,05,25 Jan 2011,450,AHU-1704.AH.01.04 TAHUN 2011,2011-04-08,Yayasan Pendidikan Kamilatunnisa,AO4809
69882993,KB TUNAS BANGSA I,KB,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9BE8B5C3-70D4-4F2E-9BD8-EB8DC1EFB93F,MAHYUDI,,-,15211,tb1@yahoo.co.id,15211,,16 Feb 2017,,,2017-02-16,SALZABILLA KOSAMBI,AH8812
69828231,TK SHAFA MARWAH,TK,Kec. Kramatwatu,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC9D2DAE-275D-432F-BDA4-01CA7AC26E0C,"Mutoharoh, M.Pd",,-,42161,muth.syifa@yahoo.co.id,42161,02,11 Apr 2011,,,2017-10-23,Shafa Marwah,AM6408
20603640,SMP ASSALAM CURUG,SMP,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40DD6058-31F5-E011-BB6F-EF148EFBFE71,"Hj. Salbiah, HS",NUR ZAMAN, 081398315281,15810,smpitassalam7@gmail.com,15810,No. 9 Tahun 1997,17 Jun 1997,02,02,2016-06-20,Yayasan Pendidkan dan Sosial Islam Assalam,AO4714
20604415,SD ISLAM ASSALAM,SD,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0F30057-31F5-E011-92BA-4B2D31DBE23B,"Hj. Salbiah, HS",NUR ZAMAN, 081398315281,15810,smpitassalam7@gmail.com,15810,No. 9 Tahun 1997,17 Jun 1997,02,02,2016-06-20,Yayasan Pendidkan dan Sosial Islam Assalam,AO4714
20616536,SDS ISLAM AS SALAM II,SD,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/105DF07F-739E-E111-AAFB-516096A47F54,"Hj. Salbiah, HS",NUR ZAMAN, 081398315281,15810,smpitassalam7@gmail.com,15810,No. 9 Tahun 1997,17 Jun 1997,02,02,2016-06-20,Yayasan Pendidkan dan Sosial Islam Assalam,AO4714
69750036,RA. AS SALAM,RA,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F8B868F0-2842-47EA-81ED-FC1AA55ED1C8,"Hj. Salbiah, HS",NUR ZAMAN, 081398315281,15810,smpitassalam7@gmail.com,15810,No. 9 Tahun 1997,17 Jun 1997,02,02,2016-06-20,Yayasan Pendidkan dan Sosial Islam Assalam,AO4714
69861161,SMKS ASSALAM CURUG,SMK,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CBFDD61D-13EC-4958-A5C8-3B3E6C314222,"Hj. Salbiah, HS",NUR ZAMAN, 081398315281,15810,smpitassalam7@gmail.com,15810,No. 9 Tahun 1997,17 Jun 1997,02,02,2016-06-20,Yayasan Pendidkan dan Sosial Islam Assalam,AO4714
69889522,PAUD KOBER MIFTAHUL ULUM,KB,Kec. Tunjung Teja,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1E5B36F0-98A2-40EA-85A2-DD91F80E36AB,Anah,,Belum Tersedia,42174,,42174,003.16.27,28 Oct 2007,,,,KB ANNUR,AO4810
69801810,TK. ISLAM BANDARA ILHAMI,TK,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C7A24F0F-5E3A-4444-9196-C0ADA4FA4452,Saefunur,,-,15215,yayasancahayailhami@yahoo.com,15215,8,07 Mar 2009,AHU-2461-AH.01.04.Tahun.2009,,2009-08-04,CAHAYA ILHAMI,AH8813
69828216,KB BINA BUDI BANGSA,KB,Kec. Kramatwatu,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DE6DB315-D70C-4D0D-9430-1947082FE99B,"H MUHAMMAD KHUSNSN, S.Pd",,-,42161,,42161,"01,-",25 Oct 2010,,,,AULIA QUROTA AINI,AM6410
69895488,SMA GENIUS,SMA,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56A0F33F-1293-4B7C-A063-6C8DDC13ECAE,DR. ISAK SURIA,Siska Handayani Afandi,021-59896373,15810,info@genius.sch.id,15810,AHU-0015183.AH.01.04,11 Oct 2017,AHU-0015183.AH.01.04,AHU-0015183.AH.01.04,2017-10-11,PENDIDIKAN GENIUS,AO4715
69972703,SD GENIUS,SD,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DCB7CB8F-A8AC-4725-8DDC-7708C6C42CD4,DR. ISAK SURIA,Siska Handayani Afandi,021-59896373,15810,info@genius.sch.id,15810,AHU-0015183.AH.01.04,11 Oct 2017,AHU-0015183.AH.01.04,AHU-0015183.AH.01.04,2017-10-11,PENDIDIKAN GENIUS,AO4715
69986437,SMP GENIUS,SMP,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4520B9D5-E2BE-47AC-A0D0-5E43583E2EBF,DR. ISAK SURIA,Siska Handayani Afandi,021-59896373,15810,info@genius.sch.id,15810,AHU-0015183.AH.01.04,11 Oct 2017,AHU-0015183.AH.01.04,AHU-0015183.AH.01.04,2017-10-11,PENDIDIKAN GENIUS,AO4715
20604620,SDK VILLA TAMAN BANDARA,SD,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30230657-31F5-E011-8417-0BB61983E22A,dr. Ayub ,Adrial Natanael,-,15211,metanoiadjaja45@yahoo.com,15211,04,10 Apr 2017,,,,Yayasan Metanoia Insan Mandiri,AH8814
20614713,SMP VILLA TAMAN BANDARA,SMP,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90288065-749E-E111-9388-2D85EF7F24F3,dr. Ayub ,Adrial Natanael,-,15211,metanoiadjaja45@yahoo.com,15211,04,10 Apr 2017,,,,Yayasan Metanoia Insan Mandiri,AH8814
20616461,TK KRISTEN VILLA TAMAN BANDARA,TK,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8B9BA7A7-2A7B-4146-81E0-3620745DF6A3,dr. Ayub ,Adrial Natanael,-,15211,metanoiadjaja45@yahoo.com,15211,04,10 Apr 2017,,,,Yayasan Metanoia Insan Mandiri,AH8814
70035596,SMA Kristen Villa Taman Bandara,SMA,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/475BE94E-8FB5-4B6F-8AD6-50186473C5F3,dr. Ayub ,Adrial Natanael,-,15211,metanoiadjaja45@yahoo.com,15211,04,10 Apr 2017,,,,Yayasan Metanoia Insan Mandiri,AH8814
69988242,SMK SHOHIBUL MUSLIMIN,SMK,Kec. Tunjung Teja,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/27B8E1A3-8E65-420D-8472-39568D8AC552,"Tairman Elon, S.H., M.H",Tresna Budi Prakoso,02547824891,42174,shohibulmuslimin3@gmail.com,42174,26,04 Mar 2016,AHU-0014836.AH.01.12.TAHUN 2016,AHU-0014456.AH.01.04.TAHUN 2016,2016-03-14,YAYASAN SHOHIBUL MUSLIMIN,AW8643
70011537,SMP IT SHOHIBUL MUSLIMIN,SMP,Kec. Tunjung Teja,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/71EAAB82-1209-4A78-A922-99165D7A85F0,"Tairman Elon, S.H., M.H",Tresna Budi Prakoso,02547824891,42174,shohibulmuslimin3@gmail.com,42174,26,04 Mar 2016,AHU-0014836.AH.01.12.TAHUN 2016,AHU-0014456.AH.01.04.TAHUN 2016,2016-03-14,YAYASAN SHOHIBUL MUSLIMIN,AW8643
20623163,TKS AL ISTIQOMAH,TK,Kec. Kramatwatu,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FC770609-694A-4F71-8BEE-33FCFADFC320,Ir. Eri Ansori,,Belum Tersedia,42161,,42161,1,06 Jul 2004,,,,Al-Istiqomah,AM6411
69956878,KB KALLYANGIN,KB,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/777771CE-C1F7-4670-953D-702298EAEB31,Andika Arif Budiman,,-,15212,,15212,AHU-0036671.AH.01.04 Tahun 2016,07 Feb 2017,,,2017-02-07,Kallyangin Rawarengas,AH8815
69828135,BKB KEMAS ARROHMAH,SPS,Kec. Waringinkurung,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/714DB7B3-5C56-4D31-BF47-BDFB8248EE57,MAHMUB,,Belum Tersedia,,,,05/07/2010,15 Nov 2017,,,2017-07-15,BAITUL MAKMUR,AJ4920
70026379,SDIT AZ-ZAHRA,SD,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16CC30EF-6994-4409-B596-DCCD77029003,Drs. H. WARKUM SUPRIADI,Fitria Nursanti,0215980945,15810,yayasantmhk@gmail.com,15810,AHU-0017446.AH.01.04.Tahun 2017,24 Nov 2017,AHU-0017446.AH.01.04.Tahun 2017,AHU-0017446.AH.01.04.Tahun 2017,2017-11-24,YAYASAN TUNAS MUDA HARAPAN KITA,AO4716
69900151,PAUD ROUDLATUL BUNAYYA,KB,Kec. Kramatwatu,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8A3B751-1C2E-41E3-8476-479571F4B857,Dra Hj EHA,,Belum Tersedia,42161,paudroudlatul_bunayya@yahoo.com,42161,01,01 Aug 2012,,01,2012-08-01,Roudlatul Bunayya,AM6412
69828253,KB QOTRUL AIN,KB,Kec. Waringinkurung,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2025CA1-7DE0-44DB-87E8-8476A68BDEFE,SITI FATIMAH,,Belum Tersedia,,,,11,20 Mar 2019,9/LL/2019/PN Srg,,2019-03-20,KOBER QOTHRULAIN,AJ4921
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,INDRI FM,,Belum Tersedia,42161,,42161,,18 Oct 2016,,,2016-10-18,MIFTAHUL HAYAT,AM6413
69904527,KB. YPAA,KB,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F5A1B9B9-51D5-4786-901D-930E42D80161,Dedeh Sundari,,Belum Tersedia,15212,paud.ypaa@yahoo.co.id,15212,421.9/338-Disdik,17 Oct 2016,,,2016-10-17,YAYASAN PENDIDIKAN ADO ASHARI,AH8816
69971777,SD ISLAM TERPADU TUNAS CENDEKIA,SD,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2922AA68-EE47-40CD-A0C4-1000A9D2BE55,BUDIYANTO,Ahmad Jais,-,15810,tunascendekia14@gmail.com,15810,82,16 Apr 2008,,,,Pendidikan Tunas Cendekia,AO4717
69828104,KB INSAN UNGGUL,KB,Kec. Waringinkurung,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45F1AE1B-507C-41DF-8A20-D6E89F723382,Bukhari Arsyad,,Belum Tersedia,42161,,42161,,30 Nov 2016,,,2016-11-30,Al-Irsyad Banten,AJ4922
69974474,KB AL IKHLAS,KB,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/62C9F4C1-5AB6-4B75-9796-BBDCCCAA7836,"JARIRI,S.Pd",,-,15214,srirahayu055@yahoo.com,15214,Ahu-00095246.AH.01.04 Tahun 2017,16 Jul 2013,45,Ahu-00095246.AH.01.04,2017-05-31,JAHWATUNNISA,AH8818
20615478,SMKS KOPTI,SMK,Kec. Kramatwatu,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8A995A4A-4CDF-4714-84A8-69500B29E761,H. Sumandji Mulyono,Annisa Istiqomah,(0254) 230050,42161,info@smkkopti.sch.id,42161,04/LP-KOPTI/V/2009,09 May 2009,,,,LP KOPTI Serang,AM6414
69769209,KB PANDA,KB,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F9E3BE6A-A3C1-4603-9D29-0B489D5F9F42,AHMAD UMAI KHUMAIDI,,Belum Tersedia,15215,,15215,08,31 Aug 2016,,MENAG/KA.BPN NO. 10XI-1996,2016-08-31,YAYASAN NUR ANGKASA,AH8819
69827954,KOBER BIRRUL WALIDAIN,KB,Kec. Waringinkurung,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/519C15A5-9193-4A0F-9905-EDADBC5E78C4,"AWI SALWI, M.Pd",,-,42161,,42161,,02 Apr 2005,,,2017-11-08,NURUL MUHTADIN,AJ4923
69889140,SMK KESEHATAN INSAN HUSADA CENDIKIA,SMK,Kec. Carenang,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2F526BCE-CCAD-46C1-ABDA-A0DE24FDAD23,ADE SUHERI,Asep Supriadi,-,42161,ade.bcs@gmail.com,42161,09,14 Mar 2015,,,2015-03-14,INSAN HUSADA CENDIKIA BANTEN,AM6415
69960227,TK ATISA DIPAMKARA I,TK,Kec. Panongan,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/65F4C8E2-88FE-4024-8C35-8307313B3497,Winarni Harsono,,0215919679,15810,kbtkatisa.citra@gmail.com,15810,-,26 Nov 2012,-,-,2017-05-15,Yayasan Satya Dharma Surya Indonesia,AO4718
20623134,SMAS GENTA SYAPUTRA,SMA,Kec. Teluk naga,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/69F92BAF-9336-4E06-A602-C38B3F28CD22,YULI RISHANTI,Andri Darmawan,Belum Tersedia,15212,,15212,,29 Mar 2015,,,2015-03-29,YAYASAN GENTA SYAPUTRA,AH8820
69828360,KOBER KARTINI,KB,Kec. Waringinkurung,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9108ECFE-6FB3-4FA1-B152-0D434C009C49,MOCH SARURI,,-,42161,mdtalmunawarbanten@gmail.com,42161,03,07 Nov 2016,AHU-0042961.AH.01.04 2016,0,2016-11-11,AL-MUNAWAR BANTEN,AJ4924
69827902,TK FATIMAH AZZAHRA,TK,Kec. Kramatwatu,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5855CEBD-5CE6-4151-8A28-F81FB7472936,IDA DARMILA,,Belum Tersedia,42161,,42161,,13 Oct 2016,,,2016-10-13,FATIMAH AZ ZAHRA,AM6416
69769651,SPS MELATI,SPS,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F055E7E1-20A3-409D-9B02-C76A5BE64F35,Maryati,RINI HANDAYANI,02159891852,15810,adawiyah972@gmail.com,15810,01/TP.PKK/KEL.BNG/2010,01 Oct 2010,0,0,,TP PKK KELURAHAN,AO4719
69882998,KB KASIH BUNDA,KB,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/06B74854-4925-443E-B2AD-2BC1F14E591D,anggi ahmad hidayat,,-,15211,paudkasihbunda49@yahoo.com,15211,254,28 Feb 2014,2-X.A-2005,C-1051.HT.03.01-TH.2002,2002-08-14,AULIA CENDIKIA,AH8821
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,Ahmad Jamhuri,,-,42161,opisopiyati3@gmail.com,42161,32.-,02 Feb 2018,C-666.HT.01.03.TH.2001,C-666.HT.01.03.TH.2001,2001-12-07,KOBER ASYIFA,AJ4925
20605118,SMKS PELAYARAN BAHARI JAYA,SMK,Kec. Kramatwatu,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C1FA6704-E6CE-43F1-977D-D8EE4805C8F8,Suhardi Harjono,Bambang Sulistiyana,-,42161,,42161,,23 Nov 2014,,,2014-11-23,Yayasan Pendidikan Bahari Jaya,AM6417
69828302,KOBER IHTIATH,KB,Kec. Waringinkurung,Kab. Serang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB360BE1-2C06-404F-A52C-0BEC28DCBDF2,syarifudin,,-,42161,pelangidesa21@gmail.com,42161,013,11 Oct 2006,03,c-504.ht,2007-12-14,pkbm pelangi desa,AJ4926
No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,No data available in table,,Rohayati S.pd,,-,42161,paudalhamid01@gmail.com,42161,4219/2106/XI/0903,20 Nov 2009,,,,KB AL-HAMID,AM6418
69959835,KB MELATI BANGSA,KB,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA510A3E-6129-409D-928C-CFCB0FAE7C76,Syepti Melati,RITA SEPRIANA,-,15810,melatibangsa@gmail.com,15810,51,26 Oct 2016,,,2017-09-07,Yayasan Melati Bangsa,AO4720
69769213,KB TUNAS BANGSA II,KB,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FBBA917E-3C92-4638-A7A3-211C63460146,Paryati,Alfiah Zulhulaifah,-,1522 ,rositaalzahidah529@gmail.com,1522 ,,15 Jul 2009,,,2016-07-25,YAYASAN ALFIAH PARYATI,AH8823
20622179,SD MENTARI BANGSA,SD,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0DFD220-9CA8-E111-B7B8-23EDC2B991A9,ANTHONY LIE,Ramdanny,02159492750,15810,info@mentaribangsa.com,15810,,01 Jan 2013,,,,YAYASAN PRIMA MENTARI,AO4721
69969833,TK SUNSMILE KIDS,TK,Kec. Curug,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5BE9FB3F-76D8-492D-8C94-7A0FB81ACE84,ANTHONY LIE,Ramdanny,02159492750,15810,info@mentaribangsa.com,15810,,01 Jan 2013,,,,YAYASAN PRIMA MENTARI,AO4721
20604462,SD IMANUEL MINISTRIES,SD,Kec. Kosambi,Kab. Tangerang,Prov. Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00080657-31F5-E011-97FE-1B01524007E6,Nontje Moningka,,02155930772,15214,,15214,4,05 Sep 2000,,,,Imanuel Ministries,AH8824
