NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,URL,Pimpinan Yayasan,Operator Yayasan,Telepon Yayasan,Fax Yayasan,Email Yayasan,Kode Pos Yayasan,No Pendirian Yayasan,Tanggal Pendirian Yayasan,No Pengesahan PN LN Yayasan,No Pengesahan Menkumham Yayasan,Tanggal Pengesahan Menkumham Yayasan,Nama Yayasan,Kode Yayasan
69847754,TK. SWASTA DHARMA WANITA PERTIWI,TK,Kec. Tabir Ulu,Kab. Merangin,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9912B493-BCA6-49A2-94A6-DB26A4A31698,Sakdiah,,-,37356,,37356,800/204/PD/2008,01 Jan 2007,,,2016-03-12,TK DHARMA WANITA PERTIWI,AI9946
69925547,KB HARAPAN KASIH,KB,Kec. Tabir Ulu,Kab. Merangin,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ADC7458B-D871-414A-B39E-8B71F90322DA,Sakdiah,,-,37356,,37356,800/204/PD/2008,01 Jan 2007,,,2016-03-12,TK DHARMA WANITA PERTIWI,AI9946
10506643,TK AMANAH,TK,Kec. Bathin VIII,Kab. Sarolangun,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E5A47CC-9300-4F19-88D2-F9C330D35192,SUSANTI,,-,37481,nopriantiamanah201703@gmail.com,37481,330 TAHUN 2005,28 Sep 2015,002/U/1995,,,TK AMANAH,AI9743
69847753,TK. SWASTA FAJAR SERUNAI,TK,Kec. Tabir Ulu,Kab. Merangin,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AD125704-7C66-4D29-A78E-0B281E065C44,HARIYAH,,0,37356,-,37356,03,18 Jan 2008,-,0,2015-04-15,TK FAJAR SERUNAI,AI9947
69924668,KB DIRA PERMAI,KB,Kec. Bathin VIII,Kab. Sarolangun,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6164AE9B-8184-446D-8B58-01C8F0060675,"Asniwati, S.Pd.AUD",,Belum Tersedia,37481,dirapermai_kblimburtembesi@yahoo.co.id,37481,,,,,,Yayasan Dira Permai,AI9744
69731223,RA/BA/TA RA. AISYIYAH,RA,Kec. Rimbo Bujang,Kab. Tebo,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7E7B9294-7CBD-4991-8049-E47EB86C5B07,Belum Isi,,Belum Tersedia,,,,,,,,,Pimpinan Daerah Muhammadiyah (PDM) Kab. Tebo,AO5559
69731224,RA Aisyiyah,RA,Kec. Rimbo Bujang,Kab. Tebo,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DFA12355-7181-4183-96E4-6295A90084C4,Belum Isi,,Belum Tersedia,,,,,,,,,Pimpinan Daerah Muhammadiyah (PDM) Kab. Tebo,AO5559
69731234,RA/BA/TA RA. AISYIYAH,RA,Kec. Rimbo Ulu,Kab. Tebo,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FDBF42CF-FBBB-466C-94A3-E2CC7AEDE8FB,Belum Isi,,Belum Tersedia,,,,,,,,,Pimpinan Daerah Muhammadiyah (PDM) Kab. Tebo,AO5559
69845868,SPS Kamboja,SPS,Kec. Rimbo Bujang,Kab. Tebo,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EC207628-AD8C-4089-8563-0B82F7B0F62D,Belum Isi,,Belum Tersedia,,,,,,,,,Pimpinan Daerah Muhammadiyah (PDM) Kab. Tebo,AO5559
69845873,SPS SAKINAH,SPS,Kec. Rimbo Bujang,Kab. Tebo,Prov. Jambi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC6BEF56-A3E4-4B00-BF96-6A869945AB08,Belum Isi,,Belum Tersedia,,,,,,,,,Pimpinan Daerah Muhammadiyah (PDM) Kab. Tebo,AO5559
