NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,URL,Pimpinan Yayasan,Operator Yayasan,Telepon Yayasan,Fax Yayasan,Email Yayasan,Kode Pos Yayasan,No Pendirian Yayasan,Tanggal Pendirian Yayasan,No Pengesahan PN LN Yayasan,No Pengesahan Menkumham Yayasan,Tanggal Pengesahan Menkumham Yayasan,Nama Yayasan,Kode Yayasan
20328781,SMP ISLAM NUDIA,SMP,Kec. Semarang Barat,Kota Semarang,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0F21E0C-EE89-E111-8A28-B3EA8E41530A,Sholechan Harun,Rachmat Ajie Fariyanto,0247622252,,,,,,,,,Yayasan Masjid Nurul Huda,AG8705
20306799,SMP KRISTEN BENDUNGAN,SMP,Kec. Selomerto,Kab. Wonosobo,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10A0805A-2DF5-E011-85FE-1F3566DDE83A,"dr. Irwan Ronal Simamora, M.Kes., Sp.P",Yanuar Boby Sutejo,0286321291,56308,purwawiyata@gmail.com,56308,C-338.HT.01.02.TH.2007,05 Feb 2007,AHU-0023069.AHA.01.12.TAHUN 2018,AHU-AH.01.06-0012607,2015-01-31,YAYASAN PURWA WIYATA WONOSOBO,AJ9169
20306800,SMP KRISTEN 1 WONOSOBO,SMP,Kec. Wonosobo,Kab. Wonosobo,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20D9805A-2DF5-E011-A954-93D699D2B093,"dr. Irwan Ronal Simamora, M.Kes., Sp.P",Yanuar Boby Sutejo,0286321291,56308,purwawiyata@gmail.com,56308,C-338.HT.01.02.TH.2007,05 Feb 2007,AHU-0023069.AHA.01.12.TAHUN 2018,AHU-AH.01.06-0012607,2015-01-31,YAYASAN PURWA WIYATA WONOSOBO,AJ9169
20306872,SD KRISTEN BENDUNGAN,SD,Kec. Selomerto,Kab. Wonosobo,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0331D59-2DF5-E011-895E-09D763572F33,"dr. Irwan Ronal Simamora, M.Kes., Sp.P",Yanuar Boby Sutejo,0286321291,56308,purwawiyata@gmail.com,56308,C-338.HT.01.02.TH.2007,05 Feb 2007,AHU-0023069.AHA.01.12.TAHUN 2018,AHU-AH.01.06-0012607,2015-01-31,YAYASAN PURWA WIYATA WONOSOBO,AJ9169
20306960,SD KRISTEN 03,SD,Kec. Wonosobo,Kab. Wonosobo,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10601D59-2DF5-E011-9BAB-1726E4E2B728,"dr. Irwan Ronal Simamora, M.Kes., Sp.P",Yanuar Boby Sutejo,0286321291,56308,purwawiyata@gmail.com,56308,C-338.HT.01.02.TH.2007,05 Feb 2007,AHU-0023069.AHA.01.12.TAHUN 2018,AHU-AH.01.06-0012607,2015-01-31,YAYASAN PURWA WIYATA WONOSOBO,AJ9169
20331702,SMAS KRISTEN WONOSOBO,SMA,Kec. Wonosobo,Kab. Wonosobo,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CA5E168-7556-40CE-92D9-F41F65491876,"dr. Irwan Ronal Simamora, M.Kes., Sp.P",Yanuar Boby Sutejo,0286321291,56308,purwawiyata@gmail.com,56308,C-338.HT.01.02.TH.2007,05 Feb 2007,AHU-0023069.AHA.01.12.TAHUN 2018,AHU-AH.01.06-0012607,2015-01-31,YAYASAN PURWA WIYATA WONOSOBO,AJ9169
20348690,TK KRISTEN,TK,Kec. Wonosobo,Kab. Wonosobo,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/899AC404-DBBA-4525-89E3-92873C478171,"dr. Irwan Ronal Simamora, M.Kes., Sp.P",Yanuar Boby Sutejo,0286321291,56308,purwawiyata@gmail.com,56308,C-338.HT.01.02.TH.2007,05 Feb 2007,AHU-0023069.AHA.01.12.TAHUN 2018,AHU-AH.01.06-0012607,2015-01-31,YAYASAN PURWA WIYATA WONOSOBO,AJ9169
20349207,TK KRISTEN BENDUNGAN,TK,Kec. Selomerto,Kab. Wonosobo,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0304FDE-4E2C-4E45-B7EB-DC4ACCE3E0F4,"dr. Irwan Ronal Simamora, M.Kes., Sp.P",Yanuar Boby Sutejo,0286321291,56308,purwawiyata@gmail.com,56308,C-338.HT.01.02.TH.2007,05 Feb 2007,AHU-0023069.AHA.01.12.TAHUN 2018,AHU-AH.01.06-0012607,2015-01-31,YAYASAN PURWA WIYATA WONOSOBO,AJ9169
69848946,POS PAUD TIRTA KENANGA,SPS,Kec. Semarang Barat,Kota Semarang,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7EC26678-87B0-4395-ADA0-F20AD57E9DB3,Sriyani,,-,50148,pp.tirta.kenanga@gmail.com,50148,12,13 Mar 2015,,,,PAUD TIRTA KENANGA,AG8706
69848280,TK HARAPAN BANGSA II,TK,Kec. Genuk,Kota Semarang,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7D24A5A3-70CA-4634-94F4-E18877E6F839,"SUHARNO,S.Pd",Suharno,-,50117,harapanbangsatk@yahoo.co.id,50117,03/YHBK/VI/2012,07 Aug 2012,,,2016-01-23,YAYASAN HARAPAN BANGSA KARANGROTO,AE1609
69818910,TPA AL FALAH,TPA,Kec. Sidomukti,Kota Salatiga,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56D1E929-CF4E-47ED-95DA-2C1985136EAB,Hj.LATIFAH ZOEMRI,IIN DIAH ERNAWATI,-,50722,,50722,25/06/2005,27 Oct 2005,IX/AL/2005,P.AL.IX/2005,2005-10-27,NAHDLOTUSSIBYAN AL FALAH,AA9452
69819050,KB AL FALAH,KB,Kec. Sidomukti,Kota Salatiga,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/37E34D63-28A2-4D3C-8BA0-196F14949F2C,Hj.LATIFAH ZOEMRI,IIN DIAH ERNAWATI,-,50722,,50722,25/06/2005,27 Oct 2005,IX/AL/2005,P.AL.IX/2005,2005-10-27,NAHDLOTUSSIBYAN AL FALAH,AA9452
69848454,TK AGAPE,TK,Kec. Semarang Barat,Kota Semarang,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/678BE7AC-4B0C-47C3-BD94-24D2BC99F6E1,"Johannes Irawan, SE",,0247619502,50144,tkagapesemarang@ymail.com,50144,1,01 May 2001,0013751.AH.01.04.Tahun 2015,,2015-09-18,Agape,AG8707
69944105,KB AGAPE,KB,Kec. Semarang Barat,Kota Semarang,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/66CE2CD4-6314-4057-8614-480FB4F9A36D,"Johannes Irawan, SE",,0247619502,50144,tkagapesemarang@ymail.com,50144,1,01 May 2001,0013751.AH.01.04.Tahun 2015,,2015-09-18,Agape,AG8707
69818905,KB JANNATUL ATHFAAL,KB,Kec. Sidomukti,Kota Salatiga,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47E5C7C3-65E3-493B-AE5D-6AF98F108BA3,"Madyaeni,S.Pd",,-,50721,pjasalatiga@gmail.com,50721,AHU-2424.AH.01.02.TAHUN 2008,11 Jun 2008,AHU-2424.AH.01.02,AHU-2424.AH.01.02,2008-06-11,YAYASAN MIFTAHUL JANNAH BANJARAN,AA9454
69818917,TK JANNATUL ATHFAAL,TK,Kec. Sidomukti,Kota Salatiga,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/33907B04-DCE6-468A-98A7-1B6D4BB4A57E,"Madyaeni,S.Pd",,-,50721,pjasalatiga@gmail.com,50721,AHU-2424.AH.01.02.TAHUN 2008,11 Jun 2008,AHU-2424.AH.01.02,AHU-2424.AH.01.02,2008-06-11,YAYASAN MIFTAHUL JANNAH BANJARAN,AA9454
69848919,POS PAUD MAWAR PUTIH,SPS,Kec. Genuk,Kota Semarang,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/29D52443-CA4A-4F99-AB87-B531FD80BC75,"Zahroh Muflihatun, S.Pd",,Belum Tersedia,50116,mawarputih064@gmail.com,50116,AHU-0008084.AH.01.07.TAHUN 2017,17 May 2017,,,2017-05-17,MAWAR PUTIH,AE1610
20360821,TK NURROHMAN,TK,Kec. Tembalang,Kota Semarang,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DDFCD781-D3D2-44B1-8137-76B797AAAD8B,AM.TRI IRIYANTI,,Belum Tersedia,50274,,50274,365/103.33/DS/1988,27 Dec 1998,,,,GLAGAH WANGI,AG8708
69972297,TK UNIVERSAL AGAPE KIDS,TK,Kec. Wonosobo,Kab. Wonosobo,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C4314F33-6CF2-4F5B-BFAD-3E64D687B048,Benyamin Agustinus,,-,56316,yayasan.mataair@gmail.com,56316,29,03 Dec 2015,-,-,,Yayasan Mata Air,AJ9171
69818992,TK PERTIWI BANJARAN,TK,Kec. Sidomukti,Kota Salatiga,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AECEC403-1C9B-4A74-A6B0-A408829C85B1,"ENDANG SRI HANDAYANI, SH",,0298-326705,50721,0,50721,09,12 Jun 2001,C-26.HT.01.10.TH2004,C-12-HT.02.TH2006,2006-01-02,DIAN DHARMA,AA9455
20331921,SMK DIAN KARTIKA,SMK,Kec. Semarang Barat,Kota Semarang,Prov. Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20B3D12F-42E7-4E1C-9BEE-BF5388E6F535,"Dr. Hj. ARDIANI IKA SETYOWATI, SE, MM, AKT",,Belum Tersedia,,,,88,30 May 1985,,,,YAYASAN PENDIDIKAN DIAN KARTIKA,AG8709
